Method,Image,PSNR,SSIM,UIQM,Brightness,Contrast,Sharpness
HE,vid_000003_frame0000014.jpg,10.129864257509835,0.4561332730925483,280.7823226387424,131.7019212962963,72.44565523451357,7778.942679422916
HE,vid_000003_frame0000015.jpg,10.278490348294458,0.48358447221870904,279.74284265218677,131.2956790123457,72.50973187025978,7253.264247489366
HE,vid_000003_frame0000016.jpg,10.41539376469446,0.5364677127792805,276.51204923640375,131.18120370370372,72.41011545038961,6626.194367019544
HE,vid_000003_frame0000017.jpg,10.625351589373466,0.5336004743105757,276.81274982058846,130.79775462962962,72.50158554814749,6170.022329638143
HE,vid_000003_frame0000018.jpg,10.741916121996478,0.5470705875502834,277.07176556559773,130.60087191358025,72.58190707986998,6098.36161417824
HE,vid_000003_frame0000019.jpg,10.704573947003118,0.5468794186155699,275.8979875040457,130.79999228395062,72.50424330919844,5950.665895118646
HE,vid_000003_frame0000020.jpg,10.664592942329481,0.5258206059223736,278.422538605127,130.5928240740741,72.666204515944,6247.490421090297
HE,vid_000003_frame0000021.jpg,10.594617168313118,0.5316635385815188,277.02871161029134,130.68574074074073,72.62626982214124,6247.081746291474
HE,vid_000003_frame0000022.jpg,10.492725000054667,0.5002861027432314,279.2973161374609,130.8904938271605,72.51120719510838,6928.381410951967
HE,vid_000003_frame0000023.jpg,10.358372438410623,0.4863475451849606,280.6516014592385,131.04728395061727,72.56130551084297,7811.277946577729
HE,vid_000004_frame0000010.jpg,10.370755090509967,0.484961687536821,282.5498924138995,130.88689043209877,72.63113900270729,8344.911793783758
HE,vid_000004_frame0000011.jpg,10.366455474329229,0.47973452091079133,281.987872991388,131.02537808641975,72.59211971798496,8093.035862479042
HE,vid_000004_frame0000012.jpg,10.341395487763403,0.4661964482611178,283.987600557656,131.0756712962963,72.5509574480771,9247.049362147003
HE,vid_000004_frame0000013.jpg,10.252685702317688,0.44208419171303,285.7290429240367,131.17756172839506,72.60801967562072,9161.40046438805
HE,vid_000004_frame0000014.jpg,10.20131878975147,0.4427113398706433,286.23049151980354,131.3335262345679,72.54946887905915,10176.001835797646
HE,vid_000004_frame0000015.jpg,10.17451003404678,0.44920495454559917,285.26743296050535,131.3759259259259,72.63116067285357,9686.656835733822
HE,vid_000004_frame0000016.jpg,10.198966180101518,0.4583179057496913,284.70376307987755,131.5147685185185,72.45477408745197,10571.361233622685
HE,vid_000004_frame0000017.jpg,10.295618067682241,0.4355435060055459,286.58080995544327,131.26902777777778,72.58630304325247,10324.693177926323
HE,vid_000004_frame0000018.jpg,10.35385851637949,0.4337336183299844,287.82747848756816,131.0737962962963,72.65262363310302,10759.739694853824
HE,vid_000005_frame0000007.jpg,9.966048022890881,0.4531574567395153,281.1963839578453,131.78302469135804,72.49748977424868,7863.203084847905
HE,vid_000005_frame0000008.jpg,10.209349303819623,0.44459006756841807,285.2230599114241,130.99612654320987,72.72365067646412,9210.968263498264
HE,vid_000005_frame0000009.jpg,10.432732459446342,0.5054761782012486,279.8147182585249,130.84770061728395,72.58489207806569,7134.663765663044
HE,vid_000005_frame0000010.jpg,10.670942911970567,0.5159087048700446,280.946459918517,130.52786265432098,72.7322654229128,6994.581880864197
HE,vid_000005_frame0000011.jpg,10.827274858182571,0.5456238589549894,279.35672371063384,130.35961419753087,72.7903185664938,6811.470633964847
HE,vid_000005_frame0000012.jpg,10.731993240628697,0.5336407172142378,280.4104779367832,130.4026851851852,72.77347594715918,7160.657128160484
HE,vid_000020_frame0000002.jpg,9.29919807927557,0.44136425471361074,278.9877728819039,131.7458487654321,72.39657132672802,8085.6469353494485
HE,vid_000020_frame0000003.jpg,9.447166608580863,0.49310901919521327,276.4547324060007,131.34841049382717,72.46828019774685,6925.322298608195
HE,vid_000020_frame0000004.jpg,9.557785801101522,0.5120370606856409,275.14242178054167,131.1583564814815,72.36572095840482,6558.103707187297
HE,vid_000021_frame0000001.jpg,10.363196460584343,0.4431431852656726,283.65582593626164,130.12293981481483,73.05768481265095,7105.89007682893
HE,vid_000021_frame0000007.jpg,10.380782600434797,0.5514112507003689,277.10300965004365,130.10658179012347,73.0210334987341,5865.528525288578
HE,vid_000021_frame0000010.jpg,10.41245073138443,0.5381227559071163,278.1478362263004,130.1904475308642,73.00045679789237,6029.698877031358
HE,vid_000021_frame0000013.jpg,10.4906063185829,0.5404809719448368,278.09329670662885,130.03114197530863,73.07666680134405,5923.24627233314
HE,vid_000021_frame0000015.jpg,10.532666409679832,0.5790797080626143,275.91050389602924,130.17481481481482,72.98928402002468,5574.281339094413
HE,vid_000021_frame0000016.jpg,10.530758491584319,0.6045530303398152,275.0836687822774,130.1614737654321,73.06044173766054,5300.055655428324
HE,vid_000021_frame0000017.jpg,10.624647662798218,0.5816723868827764,276.23629723551704,130.1178935185185,73.04947575593583,5443.72672513503
HE,vid_000021_frame0000018.jpg,10.666234339670515,0.5644408630440779,277.3814061458239,130.1009413580247,73.00408682778169,5506.855303360769
HE,vid_000021_frame0000019.jpg,10.734477548212551,0.6017875006045988,275.5996851119824,130.0225385802469,73.1056130344029,5106.156113282083
HE,vid_000021_frame0000020.jpg,10.716419371767245,0.5686775729091468,277.3426510875977,130.01010802469136,73.08155139295195,5508.4268595292615
HE,vid_000021_frame0000021.jpg,10.725675330656264,0.6047521472029638,275.13183748715045,130.03252314814816,73.04561222546486,5228.8709582073525
