Method,Image,PSNR,SSIM,UIQM,Brightness,Contrast,Sharpness
FUNIEGAN,vid_000132_frame0000046.jpg,18.176249070858713,0.7885459902191087,173.06824858542157,120.19238425925926,42.53907120925623,3869.4731696029926
FUNIEGAN,vid_000132_frame0000047.jpg,18.016019440564694,0.7781177724994457,187.1843946217848,125.47964506172839,45.94140359274573,4509.889717289608
FUNIEGAN,vid_000132_frame0000048.jpg,17.660999055250304,0.7791165615928909,186.1382872323146,124.89387345679012,45.73030476821539,4371.3543901791245
FUNIEGAN,vid_000132_frame0000049.jpg,17.848666334250037,0.792052431204526,184.27761960061406,125.08371141975309,45.7873916899464,3795.8465300148964
FUNIEGAN,vid_000132_frame0000050.jpg,17.895460968292536,0.7916850321327159,185.38666412873926,124.79149691358025,46.352525653815725,3673.339785802231
FUNIEGAN,vid_000132_frame0000051.jpg,18.049892635768522,0.8140010193492219,173.22624631241823,120.97298611111111,44.15706905017201,2956.7157136130522
FUNIEGAN,vid_000132_frame0000092.jpg,18.30403299726749,0.8185003637857017,158.28168321829685,124.18833333333333,39.55389852568577,3437.902475487195
FUNIEGAN,vid_000132_frame0000093.jpg,17.779415222092684,0.7814547170806095,157.06431187489798,117.11289351851852,38.67393083654379,3627.78325992584
FUNIEGAN,vid_000132_frame0000094.jpg,17.61729615425009,0.7951296252431161,153.34568924188142,113.22340277777778,37.6661070938621,3824.7476268132123
FUNIEGAN,vid_000132_frame0000098.jpg,17.74053440224249,0.7828386081040245,156.25549222342767,113.78492283950617,37.683414514469824,4802.2722939793375
FUNIEGAN,vid_000132_frame0000099.jpg,18.083514521848056,0.783324552864283,163.15842492659908,118.82900462962964,39.54784018579383,4532.583493346098
FUNIEGAN,vid_000132_frame0000100.jpg,17.988363902063476,0.7946182420267932,172.4952707309203,121.6975925925926,42.12159775330002,4584.024414105128
FUNIEGAN,vid_000132_frame0000101.jpg,18.071368896326984,0.788402758945545,171.48676512953665,122.28949845679013,41.992685219449974,4347.615204342897
FUNIEGAN,vid_000132_frame0000111.jpg,17.779857661646062,0.778198762521514,187.19492807433787,126.63333333333334,46.285329515895874,4481.705261602593
FUNIEGAN,vid_000132_frame0000112.jpg,17.505796466650455,0.7684545420678702,191.12376659832017,123.95810185185185,46.93815510902627,4721.411657443071
FUNIEGAN,vid_000138_frame0000014.jpg,18.278964536648378,0.6662498406999395,297.8319806916587,111.67327932098766,76.25064079199925,4110.964969623949
FUNIEGAN,vid_000138_frame0000017.jpg,18.259428128503203,0.6770672440603295,295.21899814979304,110.36626543209877,75.53411195459341,4094.872040187698
FUNIEGAN,vid_000138_frame0000018.jpg,18.28551357539497,0.6651062761314274,294.3217568086944,109.74974537037038,75.19997909338167,4160.404383559992
FUNIEGAN,vid_000138_frame0000019.jpg,18.299166286295193,0.6755115225336019,294.45184765799667,109.97506944444444,75.38730451793423,4054.024796219136
FUNIEGAN,vid_000138_frame0000020.jpg,18.250406698438397,0.6616620093652896,293.11659516759494,109.38014660493828,74.87759982899657,4144.974116019316
FUNIEGAN,vid_000138_frame0000021.jpg,18.256957065661478,0.6772640266405193,294.1113466062644,110.07111111111111,75.18814798577542,4126.911944637286
FUNIEGAN,vid_000138_frame0000022.jpg,18.243787101571705,0.6915808766415191,293.36525594786366,110.37480709876543,75.07176015264658,4055.1448039313746
FUNIEGAN,vid_000138_frame0000023.jpg,18.218794403428024,0.6987829808976191,292.08785594477746,110.48324074074074,74.82053742776164,3979.4692711890693
FUNIEGAN,vid_000138_frame0000024.jpg,18.157430682385687,0.6689986271587077,291.93145623321294,110.07841820987655,74.37513512985613,4220.323779761029
FUNIEGAN,vid_000138_frame0000027.jpg,18.227222249071215,0.6725783874515209,293.8854093985895,108.09008487654322,75.06196263770126,4173.598074363426
FUNIEGAN,vid_000138_frame0000028.jpg,18.284015642150223,0.6631286280970211,292.13506420406543,108.0911188271605,74.507232486046,4191.4415688764575
FUNIEGAN,vid_000139_frame0000005.jpg,18.52529359145207,0.8533544993413528,151.41420403334047,128.8106635802469,38.203966900118374,2710.187403117796
FUNIEGAN,vid_000139_frame0000006.jpg,17.65066974021898,0.83126151042402,164.88826987376365,136.92939043209876,41.24761916547166,2831.6012310522765
FUNIEGAN,vid_000139_frame0000007.jpg,17.349075451882467,0.83070357816722,155.10659975745006,134.4088811728395,38.70614064851399,2811.780561289664
FUNIEGAN,vid_000139_frame0000008.jpg,17.436060098933346,0.824306482702443,149.14092248234834,133.95520833333333,37.11354044198284,2791.01981344212
FUNIEGAN,vid_000139_frame0000009.jpg,17.593306078046858,0.8069339312194103,151.80124566727312,133.28677469135803,37.59564938751543,2750.5351773476195
FUNIEGAN,vid_000139_frame0000010.jpg,17.414842182465456,0.7661694475440465,157.9845514915507,132.94868055555557,38.5293873005926,3242.698056125626
FUNIEGAN,vid_000139_frame0000011.jpg,17.41648650216713,0.7753954876477557,158.91763240210162,132.99283950617283,38.74350954754436,3388.4300256672354
FUNIEGAN,vid_000139_frame0000012.jpg,17.336623299008927,0.7621457214536752,161.3671778562784,133.0079938271605,39.217134714745924,3443.8133567786326
FUNIEGAN,vid_000139_frame0000013.jpg,17.34943096103609,0.7845725083767275,159.89452382597315,133.25179783950617,39.08729112878368,3315.5096666473764
FUNIEGAN,vid_000139_frame0000014.jpg,17.226468145394097,0.7601985579218811,159.76570669576304,132.77318672839507,38.82566187775807,3504.8439153175486
FUNIEGAN,vid_000139_frame0000015.jpg,17.34572819607284,0.7723820163217643,158.0460053302841,132.86635030864198,38.506807564499326,3435.5778580198685
FUNIEGAN,vid_000139_frame0000026.jpg,17.93228739145491,0.8377146740479766,137.02944727838516,134.28645833333334,33.98387215464512,3031.856426233079
FUNIEGAN,vid_000140_frame0000001.jpg,17.39938959644993,0.7907761186753719,117.59027508027846,121.40376543209877,28.91287942998124,2883.1985267698687
